ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
13910,"카펫, 마루덮개 및 유사제품 제조업",MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13921,끈 및 로프 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13922,어망 및 기타 끈 가공품 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13991,세폭직물 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13992,부직포 및 펠트 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13993,특수사 및 코드직물 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13994,표면처리 및 적층 직물 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13999,그 외 기타 분류 안된 섬유제품 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
14111,남자용 겉옷 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
14112,여자용 겉옷 제조업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
